Event,Sample label,Half,Depth sed,Age,Cluster,SST,SST std dev,Latitude,Longitude,Elevation,Date/Time
383-U1539C,"383-U1539C-19H-3,131-133",Working (W),175.24,0.994825396,2.0,2.778619272,1.695883743,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-19H-4,65-67",Working (W),176.04,0.996589157,3.0,1.800973956,1.601541913,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-19H-5,38-40",Working (W),177.24,0.999234797,3.0,2.07911053,1.843029663,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-19H-5,118-120",Working (W),178.44,1.001880438,5.0,2.477388747,1.975618675,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-19H-6,91-93",Working (W),179.24,1.003644199,5.0,1.935817143,1.938573446,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539D,"383-U1539D-20H-1,108-110",Working (W),180.08,1.005401345,5.0,2.867940525,1.680282486,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-20H-2,78-80",Working (W),181.28,1.008046986,3.0,1.51352698,1.683163225,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-20H-3,7-9",Working (W),182.08,1.009810747,3.0,2.195530819,1.799350716,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-20H-3,127-129",Working (W),183.28,1.012456387,4.0,0.490735499,0.717569091,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-20H-4,56-58",Working (W),184.08,1.014220148,3.0,1.818156948,1.95548,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539C,"383-U1539C-20H-4,78-80",Working (W),185.78,1.021277395,3.0,1.314458797,1.431276428,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-20H-5,8-10",Working (W),186.58,1.023041155,2.0,2.924936114,1.736429209,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-20H-5,88-90",Working (W),187.38,1.024804916,,0.434374939,1.34404561,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-20H-6,18-20",Working (W),188.18,1.026568676,4.0,0.434078731,0.653589079,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539D,"383-U1539D-21H-1,120-122",Working (W),189.7,1.029209908,2.0,2.885453022,1.672589238,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539D,"383-U1539D-21H-2,50-52",Working (W),190.5,1.030973668,4.0,0.977450709,1.407880094,-56.1512,-115.1341,-4081.0,2019-06-05 15:30:00
383-U1539C,"383-U1539C-21H-1,121-123",Working (W),191.21,1.03537866,5.0,1.548216509,1.696545906,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-21H-2,50-52",Working (W),192.01,1.037142421,4.0,0.539014454,0.816110615,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-21H-3,99-101",Working (W),194.01,1.041551822,4.0,0.490743644,0.717571016,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-21H-4,69-71",Working (W),195.21,1.044197463,4.0,0.490743001,0.71757045,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-21H-5,37-39",Working (W),196.41,1.046843104,4.0,1.748136683,1.550879746,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-21H-5,117-119",Working (W),197.21,1.048606865,4.0,0.539599282,0.809360747,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-21H-6,46-48",Working (W),198.01,1.050370625,4.0,0.434075747,0.653586741,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-1,2-4",Working (W),199.52,1.054802073,4.0,1.045542036,1.426096823,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-1,82-84",Working (W),200.32,1.056565834,4.0,0.551172475,0.822828733,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-2,12-14",Working (W),201.12,1.058329595,4.0,0.540757637,0.809357893,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-2,92-94",Working (W),201.92,1.060093355,4.0,0.490737068,0.717570668,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-3,102-104",Working (W),203.52,1.063620876,,,,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-4,98-100",Working (W),204.72,1.066266517,4.0,0.513128236,0.838178196,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-4,138-140",Working (W),205.12,1.067148397,4.0,0.551172034,0.822830291,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-5,108-110",Working (W),206.32,1.069794038,6.0,2.177085144,1.861567081,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-6,11-13",Working (W),206.72,1.070675918,,,,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-6,51-53",Working (W),207.12,1.077112489,5.0,2.093607137,1.842378489,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-22H-6,91-93",Working (W),207.52,1.086939641,5.0,1.787774072,1.955781651,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-1,02-04",Working (W),209.02,1.10458706,5.0,2.867958086,1.680275453,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-1,42-44",Working (W),209.42,1.107632927,6.0,3.188803505,1.774836109,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-2,11-13",Working (W),210.62,1.116770528,4.0,0.757938559,0.774581229,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-2,131-133",Working (W),211.82,1.125908129,3.0,1.495157667,1.678734711,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-3,60-62",Working (W),212.62,1.143027868,3.0,1.800965418,1.601545268,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-3,100-102",Working (W),213.02,1.152951765,5.0,2.766325802,1.732835355,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-3,140-142",Working (W),213.42,1.162875662,1.0,4.712023112,2.364374456,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-4,69-71",Working (W),214.22,1.170813779,1.0,2.642257685,1.617337269,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-6,8-10",Working (W),216.62,1.182357988,3.0,1.561133994,1.309364371,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-23H-6,88-90",Working (W),217.42,1.186206057,4.0,0.490737996,0.717571031,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-24H-1,02-04",Working (W),218.52,1.193902196,4.0,1.361348577,1.678121559,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-24H-1,42-44",Working (W),218.92,1.19582623,7.0,4.310134409,1.608072947,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-24H-1,82-84",Working (W),219.32,1.197750265,4.0,0.540760421,0.809350882,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-24H-2,12-14",Working (W),220.12,1.244223271,6.0,3.987762599,1.137025149,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-24H-2,132-134",Working (W),221.32,1.250876103,3.0,0.490739574,0.717573075,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-24H-3,102-104",Working (W),222.52,1.255567768,6.0,2.093658613,1.842398059,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
