Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Gua Niah,Malaysia,Sarawak,OxA-13940,Calibrated,Radiocarbon age,,,3.945,40.0,"Climate, Dispersal and Technological Change during the Last Termination and Early Holocene in Southeast Asia. In Human Adaptation in the Asian Palaeolithic (pp. 142–207). Cambridge University Press. https://doi.org/10.1017/cbo9781139087582.006",4.52,4.247
Gua Niah,Malaysia,Sarawak,N-1343,Calibrated,Radiocarbon age,,,3.58,70.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",4.085,3.693
Gua Niah,Malaysia,Sarawak,N-1343,Calibrated,Radiocarbon age,,,3.58,70.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",4.085,3.693
Gua Niah,Malaysia,Sarawak,OxA-13943,Calibrated,Radiocarbon age,,,3.45,29.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.83,3.592
Gua Niah,Malaysia,Sarawak,AA-27957,Calibrated,Radiocarbon age,,,3.285,168.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.974,3.076
Gua Niah,Malaysia,Sarawak,OxA-18562,Calibrated,Radiocarbon age,,,3.182,26.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.451,3.366
Gua Niah,Malaysia,Sarawak,GX-1428,Calibrated,Radiocarbon age,,,3.175,105.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",3.683,3.079
Gua Niah,Malaysia,Sarawak,OxA-13491,Calibrated,Radiocarbon age,,,2.986,29.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.325,3.066
Gua Niah,Malaysia,Sarawak,OxA-13941,Calibrated,Radiocarbon age,,,2.986,29.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.325,3.066
Gua Niah,Malaysia,Sarawak,OxA-18393,Calibrated,Radiocarbon age,,,2.95,60.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.333,2.94
Gua Niah,Malaysia,Sarawak,OxL-1039,Calibrated,Radiocarbon age,,,2.82,150.0,"Doherty, C., Beavitt, P., & Kurui, E. (2000). [RECENT ADVANCES IN BORNEAN ARCHAEOLOGY] Recent observations of rice temper in pottery from Niah and other sites in Sarawak. Bulletin of the Indo-Pacific Prehistory Association, 20, 147-152.",3.376,2.542
Gua Niah,Malaysia,Sarawak,OxA-15159,Calibrated,Radiocarbon age,,,2.676,27.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",2.849,2.747
Gua Niah,Malaysia,Sarawak,OxA-15159,Calibrated,Radiocarbon age,,,2.676,27.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",2.849,2.747
Gua Niah,Malaysia,Sarawak,OxA-15159,Calibrated,Radiocarbon age,,,2.676,27.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",2.849,2.747
Gua Niah,Malaysia,Sarawak,OxA-22058,Calibrated,Radiocarbon age,,,2.577,33.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",2.76,2.517
Gua Niah,Malaysia,Sarawak,OxA-18560,Calibrated,Radiocarbon age,,,2.575,25.0,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",2.756,2.542
Gua Niah,Malaysia,Sarawak,OxA11548,Calibrated,Radiocarbon age,,,2.308,35.0,"Barker, G. (2005). The archaeology of foraging and farming at Niah Cave, Sarawak. Asian Perspectives, 44(1), 90–106. https://doi.org/10.1353/asi.2005.0004",2.399,2.157
Gua Niah,Malaysia,Sarawak,OxA-18451,Calibrated,Radiocarbon age,,,2.223,28.0,"Szabó, K., Cole, F., Lloyd-Smith, L., Barker, G., Hunt, C., Piper, P. J., & Doherty, C. (2013). The ‘Metal Age’at the Niah Caves, c. 2000–500 years ago. Rainforest Foraging and Farming in Island Southeast Asia: The Archaeology of the Niah Caves, Sarawak, 1, 288-340.",2.334,2.147
Gua Niah,Malaysia,Sarawak,OxL-1037,Calibrated,Radiocarbon age,,,2.16,110.0,"Doherty, C., Beavitt, P., & Kurui, E. (2000). [RECENT ADVANCES IN BORNEAN ARCHAEOLOGY] Recent observations of rice temper in pottery from Niah and other sites in Sarawak. Bulletin of the Indo-Pacific Prehistory Association, 20, 147-152.",2.364,1.83
Gua Niah,Malaysia,Sarawak,OxA-13944,Calibrated,Radiocarbon age,,,1.567,27.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",1.523,1.386
Gua Niah,Malaysia,Sarawak,OxA-20995,Calibrated,Radiocarbon age,,,1.195,977.0,"Lloyd-Smith, L. (2013). The west mouth neolithic cemetery, Niah Cave, Sarawak. In Proceedings of the Prehistoric Society (Vol. 79, pp. 105–136). https://doi.org/10.1017/ppr.2013.10",3.685,
Gua Saleh,Indonesia,Kalimantan Timur,Bor2,No_c14,U-Th datation,27.32,210.0,,,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172-179.",,
Gua Saleh,Indonesia,Kalimantan Timur,Bor7C,No_c14,U-Th datation,13.2,90.0,,,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172-179.",,
Gua Saleh,Indonesia,Kalimantan Timur,Bor7A,No_c14,U-Th datation,12.56,130.0,,,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172-179.",,
Gua Saleh,Indonesia,Kalimantan Timur,Bor7B,No_c14,U-Th datation,12.49,160.0,,,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172-179.",,
Gua Saleh,Indonesia,Kalimantan Timur,Bor5,No_c14,U-Th datation,9.87,60.0,,,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172-179.",,
Gua Saleh,Indonesia,Kalimantan Timur,Bor5,Calibrated,Radiocarbon age,,,9.01,90.0,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172–179. https://doi.org/10.1016/S0033-5894(03)00064-4",10.407,9.785
Gua Saleh,Indonesia,Kalimantan Timur,Bor2,Calibrated,Radiocarbon age,,,9.01,100.0,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172–179. https://doi.org/10.1016/S0033-5894(03)00064-4",10.485,9.77
Gua Saleh,Indonesia,Kalimantan Timur,Bor7A,Calibrated,Radiocarbon age,,,8.675,90.0,"Plagnes, V., Causse, C., Fontugne, M., Valladas, H., Chazine, J. M., & Fage, L. H. (2003). Cross dating (Th/U-14C) of calcite covering prehistoric paintings in Borneo. Quaternary Research, 60(2), 172–179. https://doi.org/10.1016/S0033-5894(03)00064-4",10.116,9.488
Gua Sireh,Malaysia,Sarawak,ANU7048,Uncalibrated,Radiocarbon age,21.63,80.0,,,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",26.021,25.785
Gua Sireh,Malaysia,Sarawak,ANU7049,Uncalibrated,Radiocarbon age,4.3,,,,"Arifin, K. (2004a). Analysis of Flora Remains (Chapter 7). In Early Human Occupation of The East Kalimantan Rainforest (The Upper Birang River Region, Berau) (pp. 150–154).; Arifin, K. (2004b). The Excavations (Chapter 5). In Early Human Occupation of the East Kalimantan Rainforest (The Upper Birang Region, Berau) (pp. 76–104).",4.863,4.843
Gua Sireh,Malaysia,Sarawak,ANU7049,Uncalibrated,Radiocarbon age,3.99,230.0,,,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",5.265,3.832
Gua Sireh,Malaysia,Sarawak,CAMS725,Uncalibrated,Radiocarbon age,3.85,260.0,,,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",4.967,3.566
Gua Sireh,Malaysia,Sarawak,ANU7047,Uncalibrated,Radiocarbon age,3.23,190.0,,,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",3.963,2.961
Gua Sireh,Malaysia,Sarawak,CAMS721,Uncalibrated,Radiocarbon age,1.48,260.0,,,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",1.995,0.828
Gua Sireh,Malaysia,Sarawak,ANU7046,Uncalibrated,Radiocarbon age,0.91,130.0,,,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",1.174,0.567
Gua Sireh,Malaysia,Sarawak,ANU7048,Calibrated,Radiocarbon age,,,21.63,80.0,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",26.021,25.785
Gua Sireh,Malaysia,Sarawak,ANU7045,Calibrated,Radiocarbon age,,,5.29,80.0,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",6.276,5.916
Gua Sireh,Malaysia,Sarawak,ANU 7049,Calibrated,Radiocarbon age,,,4.6,,"Barton, H. (2012). The reversed fortunes of sago and rice, Oryza sativa, in the rainforests of Sarawak, Borneo. Quaternary International, 249, 96–104. https://doi.org/10.1016/j.quaint.2011.03.037",5.437,5.305
Gua Sireh,Malaysia,Sarawak,ANU7049,Calibrated,Radiocarbon age,,,3.99,230.0,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",5.265,3.832
Gua Sireh,Malaysia,Sarawak,ANU7049,Calibrated,Radiocarbon age,,,3.99,230.0,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",5.265,3.832
Gua Sireh,Malaysia,Sarawak,ANU-7049,Calibrated,Radiocarbon age,,,3.99,230.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",5.265,3.832
Gua Sireh,Malaysia,Sarawak,CAMS-725,Calibrated,Radiocarbon age,,,3.85,260.0,"Bellwood, P., Gillespie, R., Thompson, G. B., Vogel, J. S., Ardika, I. W., & Datan, I. (1992). New dates for prehistoric Asian rice. Asian perspectives, 161-170.",4.967,3.566
Gua Sireh,Malaysia,Sarawak,CAMS725,Calibrated,Radiocarbon age,,,3.85,260.0,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",4.967,3.566
Gua Sireh,Malaysia,Sarawak,CAMS725,Calibrated,Radiocarbon age,,,3.85,260.0,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",4.967,3.566
Gua Sireh,Malaysia,Sarawak,CAMS-725,Calibrated,Radiocarbon age,,,3.85,26.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",4.405,4.153
Gua Sireh,Malaysia,Sarawak,ANU-7047,Calibrated,Radiocarbon age,,,3.22,190.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",3.961,2.956
Gua Sireh,Malaysia,Sarawak,CAMS721,Calibrated,Radiocarbon age,,,1.48,260.0,"Datan, I., & Bellwood, P. (1991). Recent Research at Gua Sireh (Serian) and Lubang Angin (Gunung Mulu National Park), Sarawak. Indo-Pacific Prehistory, 10, 386–405.",1.995,0.828
Gua Sireh,Malaysia,Sarawak,CAMS-721,Calibrated,Radiocarbon age,,,1.48,260.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",1.995,0.828
Gua Tapadong,Malaysia,Sabah,hh1,Calibrated,Radiocarbon age,,,10.3,1110.0,"Harrisson, T., & Harrisson, B. (1971). The Prehistory Of Sabah",15.565,9.293
Gua Tengkorak,Indonesia,Kalimantan Timur,Beta Analytic197162,Calibrated,Radiocarbon age,,,11.75,50.0,"Chazine, J.-M. (2005). Rock Art, Burials, and Habitations: Caves in East Kalimantan. In Source: Asian Perspectives (Vol. 44, Issue 1).",13.752,13.499
Gua Tengkorak,Indonesia,Kalimantan Timur,Beta Analytic167407,Calibrated,Radiocarbon age,,,7.2,40.0,"Chazine, J.-M. (2005). Rock Art, Burials, and Habitations: Caves in East Kalimantan. In Source: Asian Perspectives (Vol. 44, Issue 1).",8.166,7.936
Gua Tengkorak,Indonesia,Kalimantan Timur,Beta Analytic197167,Calibrated,Radiocarbon age,,,4.02,50.0,"Chazine, J.-M. (2005). Rock Art, Burials, and Habitations: Caves in East Kalimantan. In Source: Asian Perspectives (Vol. 44, Issue 1).",4.799,4.304
Gua Tewet,Indonesia,Kalimantan Timur,CHZ1,Uncalibrated,Radiocarbon age,10.0,,,,"Chazine, J. M. (2005). Rock art, burials, and habitations: caves in East Kalimantan. Asian Perspectives, 44(1), 219-230.",11.614,11.327
Gua Tupak,Malaysia,Sarawak,Gani1,Calibrated,Radiocarbon age,,,1.19,40.0,"Gani, N. (2010). The Archaeology of Gua Tupak From 1,190 B.P. to 170 B.P. in Bau, Sarawak.",1.247,0.975
Gua Tupak,Malaysia,Sarawak,Gani2,Calibrated,Radiocarbon age,,,0.27,50.0,"Gani, N. (2010). The Archaeology of Gua Tupak From 1,190 B.P. to 170 B.P. in Bau, Sarawak.",0.474,
Gua Tupak,Malaysia,Sarawak,Gani3,Calibrated,Radiocarbon age,,,0.17,40.0,"Gani, N. (2010). The Archaeology of Gua Tupak From 1,190 B.P. to 170 B.P. in Bau, Sarawak.",0.294,
Jambu Hilir,Indonesia,Kalimantan Selatan,Wk-22009,Calibrated,Radiocarbon age,,,2.922,45.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",3.212,2.94
Jambu Hilir,Indonesia,Kalimantan Selatan,Wk-22009,Calibrated,Radiocarbon age,,,2.922,45.0,"Anggraeni, & Sunarningsih. (2008). The Prehistoric Settlement at Jambu Hilir, South Kalimantan Providence, Indonesia. In IPPA BULLETIN (Vol. 28).",3.212,2.94
Kimanis,Indonesia,Kalimantan Timur,ANU-11258,Uncalibrated,Radiocarbon age,13.86,180.0,,,"Arifin, K. (2017). Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan. In New perspectives in South Asian and Pacific Prehistory.",17.333,16.313
Kimanis,Indonesia,Kalimantan Timur,ANU-11258,Uncalibrated,Radiocarbon age,13.86,180.0,,,"Arifin, K. (2004a). Analysis of Flora Remains (Chapter 7). In Early Human Occupation of The East Kalimantan Rainforest (The Upper Birang River Region, Berau) (pp. 150–154).; Arifin, K. (2004b). The Excavations (Chapter 5). In Early Human Occupation of the East Kalimantan Rainforest (The Upper Birang Region, Berau) (pp. 76–104).",17.333,16.313
Kimanis,Indonesia,Kalimantan Timur,ANU-11151,Uncalibrated,Radiocarbon age,11.27,220.0,,,"Arifin, K. (2017). Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan. In New perspectives in South Asian and Pacific Prehistory.",13.58,12.758
Kimanis,Indonesia,Kalimantan Timur,ANU-11151,Uncalibrated,Radiocarbon age,11.27,220.0,,,"Arifin, K. (2004a). Analysis of Flora Remains (Chapter 7). In Early Human Occupation of The East Kalimantan Rainforest (The Upper Birang River Region, Berau) (pp. 150–154).; Arifin, K. (2004b). The Excavations (Chapter 5). In Early Human Occupation of the East Kalimantan Rainforest (The Upper Birang Region, Berau) (pp. 76–104).",13.58,12.758
Kimanis,Indonesia,Kalimantan Timur,ANU-11150,Uncalibrated,Radiocarbon age,10.03,260.0,,,"Arifin, K. (2017). Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan. In New perspectives in South Asian and Pacific Prehistory.",12.608,10.79
Kimanis,Indonesia,Kalimantan Timur,ANU-11150,Uncalibrated,Radiocarbon age,10.03,260.0,,,"Arifin, K. (2017). Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan. In New perspectives in South Asian and Pacific Prehistory.",12.608,10.79
Kimanis,Indonesia,Kalimantan Timur,ANU-11150,Uncalibrated,Radiocarbon age,10.03,260.0,,,"Arifin, K. (2004a). Analysis of Flora Remains (Chapter 7). In Early Human Occupation of The East Kalimantan Rainforest (The Upper Birang River Region, Berau) (pp. 150–154).; Arifin, K. (2004b). The Excavations (Chapter 5). In Early Human Occupation of the East Kalimantan Rainforest (The Upper Birang Region, Berau) (pp. 76–104).",12.608,10.79
Kimanis,Indonesia,Kalimantan Timur,ANU-11149,Uncalibrated,Radiocarbon age,8.84,250.0,,,"Arifin, K. (2017). Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan. In New perspectives in South Asian and Pacific Prehistory.",10.582,9.321
Kimanis,Indonesia,Kalimantan Timur,ANU-11149,Uncalibrated,Radiocarbon age,8.84,250.0,,,"Arifin, K. (2004a). Analysis of Flora Remains (Chapter 7). In Early Human Occupation of The East Kalimantan Rainforest (The Upper Birang River Region, Berau) (pp. 150–154).; Arifin, K. (2004b). The Excavations (Chapter 5). In Early Human Occupation of the East Kalimantan Rainforest (The Upper Birang Region, Berau) (pp. 76–104).",10.582,9.321
Kimanis,Indonesia,Kalimantan Timur,ANU-11148,Uncalibrated,Radiocarbon age,4.65,90.0,,,"Arifin, K. (2017). Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan. In New perspectives in South Asian and Pacific Prehistory.",5.586,5.051
Kimanis,Indonesia,Kalimantan Timur,ANU-11148,Uncalibrated,Radiocarbon age,4.65,90.0,,,"Arifin, K. (2004a). Analysis of Flora Remains (Chapter 7). In Early Human Occupation of The East Kalimantan Rainforest (The Upper Birang River Region, Berau) (pp. 150–154).; Arifin, K. (2004b). The Excavations (Chapter 5). In Early Human Occupation of the East Kalimantan Rainforest (The Upper Birang Region, Berau) (pp. 76–104).",5.586,5.051
Kimanis,Indonesia,Kalimantan Timur,ANU-11311,Uncalibrated,Radiocarbon age,1.27,240.0,,,"Arifin, K. (2017). Terminal Pleistocene and Early Holocene Human Occupation in the Rainforests of East Kalimantan. In New perspectives in South Asian and Pacific Prehistory.",1.695,0.724
Kimanis,Indonesia,Kalimantan Timur,ANU-11311,Uncalibrated,Radiocarbon age,1.27,240.0,,,"Arifin, K. (2004a). Analysis of Flora Remains (Chapter 7). In Early Human Occupation of The East Kalimantan Rainforest (The Upper Birang River Region, Berau) (pp. 150–154).; Arifin, K. (2004b). The Excavations (Chapter 5). In Early Human Occupation of the East Kalimantan Rainforest (The Upper Birang Region, Berau) (pp. 76–104).",1.695,0.724
Kimanis,Indonesia,Kalimantan Timur,ANU-11311,Calibrated,Radiocarbon age,,,1.27,240.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",1.695,0.724
Lembah Mansuli,Malaysia,Sabah,Abdullah2013,Uncalibrated,Radiocarbon age,11.0,,,,"Abdullah, J. (2013). Lembah Mansuli, Lahad Datu, Sabah dalam Prasejarah Asia Tenggara (Penerbit USM). Penerbit USM.",12.985,12.835
Liang Abu,Indonesia,Kalimantan Timur,AMS,Uncalibrated,Radiocarbon age,19.761,87.0,,,"Grenet, M., Sarel, J., Fauzy, R., Oktaviana, A. A., Sugiyanto, B., Chazine, J. M., & Ricaut, F. X. (2016). New insights on the late Pleistocene–Holocene lithic industry in East Kalimantan (Borneo): The contribution of three rock shelter sites in the karstic area of the Mangkalihat peninsula. Quaternary International, 416, 126–150. https://doi.org/10.1016/j.quaint.2015.11.044",24.004,23.4
Liang Abu,Indonesia,Kalimantan Timur,AMS,Uncalibrated,Radiocarbon age,1.524,22.0,,,"Grenet, M., Sarel, J., Fauzy, R., Oktaviana, A. A., Sugiyanto, B., Chazine, J. M., & Ricaut, F. X. (2016). New insights on the late Pleistocene–Holocene lithic industry in East Kalimantan (Borneo): The contribution of three rock shelter sites in the karstic area of the Mangkalihat peninsula. Quaternary International, 416, 126–150. https://doi.org/10.1016/j.quaint.2015.11.044",1.51,1.347
Liang Abu,Indonesia,Kalimantan Timur,UBA-20842,Calibrated,Radiocarbon age,,,12.66,58.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",15.284,14.914
Liang Abu,Indonesia,Kalimantan Timur,UBA-20842,Calibrated,Radiocarbon age,,,12.66,58.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",15.284,14.914
Liang Abu,Indonesia,Kalimantan Timur,UBA-20839,Calibrated,Radiocarbon age,,,1.672,21.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",1.689,1.525
Liang Abu,Indonesia,Kalimantan Timur,UBA-20839,Calibrated,Radiocarbon age,,,1.672,21.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",1.689,1.525
Liang Abu,Indonesia,Kalimantan Timur,UBA-20840,Calibrated,Radiocarbon age,,,1.524,22.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",1.51,1.347
Liang Abu,Indonesia,Kalimantan Timur,UBA-20840,Calibrated,Radiocarbon age,,,1.524,22.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",1.51,1.347
Liang Banteng,Indonesia,Kalimantan Timur,LBT1.3,No_c14,U-series,19.7,12.0,,,"Aubert, M., Setiawan, P., Oktaviana, A.A. et al. Palaeolithic cave art in Borneo. Nature 564, 254–257 (2018). https://doi.org/10.1038/s41586-018-0679-9",,
