Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Bukit Sarang,Malaysia,Sarawak,Beta-162655,Uncalibrated,Radiocarbon age,2.16,80.0,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",2.342,1.945
Bukit Sarang,Malaysia,Sarawak,Beta-177990,Uncalibrated,Radiocarbon age,0.86,50.0,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",0.906,0.68
Bukit Sarang,Malaysia,Sarawak,Beta-177989,Uncalibrated,Radiocarbon age,0.49,50.0,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",0.634,0.341
Bukit Sarang,Malaysia,Sarawak,Beta-177988,Uncalibrated,Radiocarbon age,0.42,50.0,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",0.535,0.317
Bukit Tempadong,Malaysia,Sabah,GeochronLAB,Uncalibrated,Radiocarbon age,10.3,1110.0,,,"Harrisson, T., & Harrisson, B. (1971). The Prehistory Of Sabah",15.565,9.293
Bukit Tengkorak,Malaysia,Sabah,chia1,Uncalibrated,Radiocarbon age,3.19,60.0,,,"Chia, S. (2003). Archaeological Research at Bukit Sarang Caves, Ulu Kakus, Sarawak.",3.561,3.25
Bukit Tengkorak,Malaysia,Sabah,Beta-83783,Uncalibrated,Radiocarbon age,2.94,50.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",3.32,2.951
Bukit Tengkorak,Malaysia,Sabah, Beta-83783,Uncalibrated,Radiocarbon age,2.94,50.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",3.32,2.951
Bukit Tengkorak,Malaysia,Sabah,ANU-5769,Uncalibrated,Radiocarbon age,2.7,110.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",3.148,2.492
Bukit Tengkorak,Malaysia,Sabah,ANU-5769,Uncalibrated,Radiocarbon age,2.7,110.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",3.148,2.492
Bukit Tengkorak,Malaysia,Sabah,ANU-10958,Calibrated,Radiocarbon age,,,3.36,190.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",4.15,3.156
Bukit Tengkorak,Malaysia,Sabah,ANU-10963,Calibrated,Radiocarbon age,,,2.97,130.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",3.446,2.795
Bukit Tengkorak,Malaysia,Sabah,OZD-767,Calibrated,Radiocarbon age,,,2.94,40.0,"Plutniak, S., Oktaviana, A. A., Sugiyanto, B., Chazine, J.-M., & Ricaut5, & F.-X. (2014). New Ceramic Data from East Kalimantan: The cord-marked and red-slipped sherds of Liang Abu’s layer 2 and Kalimantan’s pottery chronology. In Journal of Pacific Archaeology (Vol. 5, Issue 1).",3.21,2.965
