Depth sed,Age,Uvigerina spp. δ13C,Uvigerina spp. δ18O,Event,Latitude,Longitude,Elevation,Date/Time
3.93,19.203,-0.546,4.429,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
3.98,19.307,-0.151,4.37,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.03,19.411,-0.045,4.448,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.08,19.515,-0.607,4.245,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.13,19.62,-0.383,4.412,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.18,19.724,-0.633,4.042,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.23,19.828,-0.545,4.215,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.28,19.932,-0.381,4.252,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.33,20.036,-0.555,4.202,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.38,20.149,-0.39,4.259,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.43,20.267,-0.409,4.206,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.48,20.385,-0.085,4.315,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.53,20.503,-0.644,4.273,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.58,20.62,-0.292,4.326,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.63,20.738,-0.359,4.341,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.68,20.856,-0.588,4.192,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.73,20.974,-0.558,4.348,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.78,21.078,-0.082,4.081,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.83,21.16,-0.351,4.278,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.88,21.243,-0.623,4.371,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.93,21.325,-0.301,4.38,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
4.98,21.407,-0.341,4.476,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.03,21.49,-0.404,4.475,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.08,21.572,-0.166,4.33,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.13,21.654,-0.513,4.287,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.23,21.819,-0.674,4.273,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.28,21.901,-0.157,4.113,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.33,21.983,-0.423,4.208,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.38,22.066,-0.355,4.369,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.43,22.148,-0.21,4.201,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.48,22.244,-0.128,4.338,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.53,22.35,-0.085,4.278,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.58,22.455,-0.332,4.33,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.63,22.56,-0.652,4.243,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.68,22.665,-0.541,4.196,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.73,22.771,-0.302,4.256,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.78,22.876,-0.488,4.315,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.83,22.981,-0.25,4.344,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.88,23.087,-0.299,4.291,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.93,23.192,-0.487,4.256,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
5.98,23.297,-0.47,4.367,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.03,23.403,-0.652,4.025,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.08,23.508,-0.347,4.323,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.13,23.613,-0.239,4.196,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.18,23.719,0.005,4.268,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.23,23.824,0.075,4.2,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.28,23.933,-0.429,4.05,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.33,24.045,-0.14,4.069,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.38,24.156,-0.341,4.254,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.43,24.268,-0.215,4.126,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.48,24.38,-0.506,4.31,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.53,24.491,-0.157,4.155,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.58,24.603,-0.707,4.301,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.63,24.715,-0.007,4.168,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.68,24.826,-0.551,4.306,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.73,24.938,-0.202,4.371,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.78,25.05,-0.5,4.4,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
