Year obs,Depth top,Depth bot,Depth water,TP,Description,Event,Latitude,Longitude,Elevation,Date/Time
1975,0,250,125,82.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1976,0,250,125,83.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1977,0,250,125,85.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1978,0,250,125,77.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1979,0,250,125,87.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1980,0,250,125,83.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1981,0,250,125,85.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1982,0,250,125,79.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1983,0,250,125,77.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1984,0,250,125,70.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1985,0,250,125,66.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1986,0,250,125,63.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1987,0,250,125,58.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1988,0,250,125,47.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1989,0,250,125,43.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1990,0,250,125,39.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1991,0,250,125,33.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1992,0,250,125,32.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1993,0,250,125,30.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
