Age,Age_2,Porites sp. Sr/Ca,Porites sp. Mg/Ca,Porites sp. δ18O,Porites sp. δ13C,Event,Latitude,Longitude,Elevation,Date/Time
-0.052208,2002.208,8.995,5.119,-4.81,-2.58,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052125,2002.125,9.015,5.122,-4.78,-2.66,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.052041,2002.041,9.033,5.124,-4.74,-2.75,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051958,2001.958,9.047,5.121,-4.64,-2.88,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051875,2001.875,9.06,5.106,-4.55,-2.79,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051791,2001.791,9.083,5.07,-4.51,-2.62,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051708,2001.708,9.099,5.061,-4.58,-2.72,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051625,2001.625,9.11,4.962,-4.51,-2.64,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051541,2001.541,9.097,4.993,-4.57,-2.71,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051458,2001.458,9.08,5.021,-4.61,-2.89,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051375,2001.375,9.073,5.017,-4.55,-3.13,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051291,2001.291,9.046,4.932,-4.68,-3.24,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051208,2001.208,8.991,5.036,-4.72,-3.14,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051125,2001.125,9.006,5.121,-4.68,-2.69,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.051041,2001.041,9.037,5.081,-4.62,-2.6,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050958,2000.958,9.062,5.048,-4.57,-2.69,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050875,2000.875,9.083,4.974,-4.48,-2.47,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050791,2000.791,9.119,4.785,-4.4,-2.46,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050708,2000.708,9.181,4.684,-4.32,-2.57,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050625,2000.625,9.155,4.755,-4.43,-2.68,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050541,2000.541,9.117,4.847,-4.55,-2.74,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050458,2000.458,9.08,4.938,-4.68,-2.77,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050375,2000.375,9.061,4.951,-4.76,-2.7,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050291,2000.291,9.046,4.976,-4.76,-2.63,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050208,2000.208,9.035,5.019,-4.69,-2.57,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050125,2000.125,9.033,5.116,-4.57,-2.56,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.050041,2000.041,9.078,5.036,-4.5,-2.44,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.049958,1999.958,9.117,4.956,-4.43,-2.33,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.049875,1999.875,9.141,4.873,-4.36,-2.22,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.049791,1999.791,9.159,4.804,-4.28,-2.13,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
-0.049708,1999.708,9.171,4.75,-4.21,-2.06,TIAREI-A1,-17.506944,-149.4225,-15.0,2008-07-01
